蛂,bié
襒,bié
蹩,bié
癟,biě
彆,biè
杓,biāo
髟,biāo
彪,biāo
颩,biāo
滮,biāo
猋,biāo
飆,biāo
摽,biāo
熛,biāo
標,biāo
蔈,biāo
膘,biāo
瘭,biāo
鏢,biāo
颮,biāo
麃,biāo
儦,biāo
瀌,biāo
藨,biāo
臕,biāo
穮,biāo
鑣,biāo
爂,biāo
表,biǎo
俵,biǎo
婊,biǎo
裱,biǎo
錶,biǎo
褾,biǎo
摽,biào
鰾,biào
砭,biān
猵,biān
楄,biān
蝙,biān
編,biān
鯿,biān
箯,biān
鞭,biān
邊,biān
籩,biān
扁,biǎn
匾,biǎn
惼,biǎn
萹,biǎn
碥,biǎn
稨,biǎn
褊,biǎn
蝙,biǎn
窆,biǎn
貶,biǎn
卞,biàn
汴,biàn
忭,biàn
抃,biàn
苄,biàn
弁,biàn
閞,biàn
鴘,biàn
釆,biàn
便,biàn
緶,biàn
遍,biàn
艑,biàn
辡,biàn
辨,biàn
辮,biàn
辯,biàn
變,biàn
汃,bīn
份,bīn
邠,bīn
玢,bīn
彬,bīn
斌,bīn
稟,bīn
賓,bīn
儐,bīn
濱,bīn
檳,bīn
蠙,bīn
繽,bīn
鑌,bīn
豳,bīn
瀕,bīn
賓,bìn
儐,bìn
擯,bìn
殯,bìn
臏,bìn
鬢,bìn
髕,bìn
冫,bīng
并,bīng
屏,bīng
栟,bīng
冰,bīng
兵,bīng
掤,bīng
檳,bīng
丙,bǐng
怲,bǐng
邴,bǐng
炳,bǐng
柄,bǐng
昺,bǐng
秉,bǐng
屏,bǐng
迸,bǐng
鉼,bǐng
餅,bǐng
稟,bǐng
鞞,bǐng
并,bìng
併,bìng
偋,bìng
摒,bìng
並,bìng
柄,bìng
病,bìng
寎,bìng
逋,bū
晡,bū
餔,bū
轐,bú
醭,bú
卜,bǔ
鳪,bǔ
埔,bǔ
捕,bǔ
哺,bǔ
補,bǔ
不,bù
布,bù
佈,bù
怖,bù
鈽,bù
步,bù
捕,bù
哺,bù
餔,bù
簿,bù
部,bù
蔀,bù
篰,bù
埠,bù
拍,pā
㕷,pā
啪,pā
趴,pā
葩,pā
扒,pá
杷,pá
爬,pá
耙,pá
琶,pá
筢,pá
汃,pà
帊,pà
怕,pà
帕,pà
袙,pà
杷,pa
琶,pa
波,pō
坡,pō
陂,pō
頗,pō
癹,pō
潑,pō
婆,pó
碆,pó
番,pó
鄱,pó
皤,pó
搫,pó
繁,pó
叵,pǒ
尀,pǒ
笸,pǒ
鉕,pǒ
頗,pǒ
駊,pǒ
朴,pò
釙,pò
泊,pò
拍,pò
珀,pò
迫,pò
胉,pò
粕,pò
魄,pò
破,pò
哱,pò
蒪,pò
謈,pò
濼,pò
醱,pò
霸,pò
拍,pāi
俳,pái
排,pái
徘,pái
牌,pái
箄,pái
簰,pái
排,pǎi
𠂢,pài
派,pài
湃,pài
坯,pēi
呸,pēi
胚,pēi
衃,pēi
披,pēi
醅,pēi
坏,péi
阫,péi
邳,péi
培,péi
陪,péi
毰,péi
賠,péi
裴,péi
妃,pèi
配,pèi
沛,pèi
肺,pèi
旆,pèi
霈,pèi
帔,pèi
佩,pèi
珮,pèi
茷,pèi
淠,pèi
轡,pèi
泡,pāo
拋,pāo
脬,pāo
刨,páo
庖,páo
咆,páo
炮,páo
炰,páo
瓟,páo
袍,páo
匏,páo
跑,páo
鞄,páo
颮,páo
齙,páo
猼,páo
麃,páo
跑,pǎo
泡,pào
炮,pào
疱,pào
砲,pào
皰,pào
奅,pào
𣶐,pào
剖,pōu
抔,póu
捊,póu
掊,póu
裒,póu
剖,pǒu
培,pǒu
掊,pǒu
棓,pǒu
瓿,pǒu
扳,pān
番,pān
潘,pān
攀,pān
弁,pán
柈,pán
胖,pán
般,pán
幋,pán
媻,pán
槃,pán
搫,pán
磐,pán
盤,pán
縏,pán
鞶,pán
磻,pán
蟠,pán
蹣,pán
判,pàn
泮,pàn
拌,pàn
叛,pàn
柈,pàn
牉,pàn
袢,pàn
畔,pàn
頖,pàn
拚,pàn
盼,pàn
襻,pàn
濆,pēn
噴,pēn
歕,pēn
盆,pén
湓,pén
噴,pèn
歕,pèn
乓,pāng
汸,pāng
滂,pāng
膀,pāng
磅,pāng
尨,páng
厖,páng
庬,páng
彷,páng
旁,páng
雱,páng
傍,páng
徬,páng
膀,páng
螃,páng
篣,páng
逄,páng
龐,páng
胖,pàng
亨,pēng
烹,pēng
泙,pēng
怦,pēng
抨,pēng
砰,pēng
軯,pēng
閛,pēng
駍,pēng
恲,pēng
淜,pēng
硼,pēng
漰,pēng
磞,pēng
澎,pēng
芃,péng
朋,péng
倗,péng
堋,péng
弸,péng
棚,péng
硼,péng
輣,péng
鬅,péng
鵬,péng
逢,péng
蓬,péng
髼,péng
篷,péng
彭,péng
澎,péng
膨,péng
蟛,péng
篣,péng
捧,pěng
椪,pèng
碰,pèng
踫,pèng
匹,pī
丕,pī
伾,pī
坯,pī
狉,pī
秠,pī
駓,pī
批,pī
砒,pī
紕,pī
鈚,pī
鎞,pī
披,pī
被,pī
鈹,pī
劈,pī
霹,pī
比,pí
阰,pí
玭,pí
枇,pí
芘,pí
毗,pí
毘,pí
蚍,pí
紕,pí
琵,pí
鈚,pí
膍,pí
貔,pí
皮,pí
陂,pí
疲,pí
鈹,pí
埤,pí
啤,pí
郫,pí
陴,pí
椑,pí
脾,pí
裨,pí
蜱,pí
鼙,pí
蠯,pí
罷,pí
羆,pí
匹,pǐ
庀,pǐ
仳,pǐ
吡,pǐ
疋,pǐ
圮,pǐ
否,pǐ
痞,pǐ
嚭,pǐ
劈,pǐ
癖,pǐ
屁,pì
媲,pì
淠,pì
濞,pì
埤,pì
副,pì
辟,pì
僻,pì
澼,pì
擗,pì
癖,pì
甓,pì
譬,pì
闢,pì
鷿,pì
潎,pì
㕷,piā
啪,piā
氕,piē
覕,piē
潎,piē
撇,piē
瞥,piē
丿,piě
撇,piě
嫳,piè
票,piāo
僄,piāo
漂,piāo
彯,piāo
嘌,piāo
嫖,piāo
翲,piāo
螵,piāo
飄,piāo
朴,piáo
嫖,piáo
瓢,piáo
殍,piǎo
莩,piǎo
漂,piǎo
摽,piǎo
標,piǎo
瞟,piǎo
篻,piǎo
縹,piǎo
醥,piǎo
顠,piǎo
皫,piǎo
票,piào
剽,piào
僄,piào
漂,piào
慓,piào
縹,piào
驃,piào
片,piān
扁,piān
偏,piān
媥,piān
萹,piān
篇,piān
翩,piān
平,pián
玭,pián
便,pián
楩,pián
緶,pián
胼,pián
駢,pián
骿,pián
楄,pián
褊,pián
諞,pián
蹁,pián
諞,piǎn
片,piàn
猵,piàn
遍,piàn
騙,piàn
拼,pīn
姘,pīn
玭,pín
貧,pín
頻,pín
瀕,pín
嚬,pín
蘋,pín
顰,pín
嬪,pín
矉,pín
蠙,pín
品,pǐn
牝,pìn
聘,pìn
乒,pīng
甹,pīng
俜,pīng
娉,pīng
艵,pīng
頩,pīng
平,píng
坪,píng
枰,píng
苹,píng
秤,píng
評,píng
萍,píng
洴,píng
帡,píng
屏,píng
栟,píng
荓,píng
瓶,píng
艵,píng
蛢,píng
缾,píng
軿,píng
蓱,píng
鵧,píng
馮,píng
憑,píng
蘋,píng
聘,pìng
攴,pū
仆,pū
扑,pū
痡,pū
鋪,pū
撲,pū
噗,pū
𩱚,pū
朴,pú
匍,pú
莆,pú
脯,pú
葡,pú
酺,pú
蒲,pú
蒱,pú
菩,pú
僕,pú
墣,pú
璞,pú
樸,pú
濮,pú
襆,pú
醭,pú
蹼,pú
鏷,pú
纀,pú
浦,pǔ
埔,pǔ
哺,pǔ
圃,pǔ
溥,pǔ
普,pǔ
譜,pǔ
鐠,pǔ
堡,pù
暴,pù
瀑,pù
曝,pù
鋪,pù
媽,mā
螞,mā
摩,mā
嬤,mā
麻,má
痲,má
麼,má
嘛,má
犘,má
蟆,má
馬,mǎ
傌,mǎ
嗎,mǎ
瑪,mǎ
碼,mǎ
螞,mǎ
鎷,mǎ
傌,mà
禡,mà
罵,mà
螞,mà
嗎,ma
麼,ma
嘛,ma
蟆,ma
摸,mō
無,mó
麼,mó
摩,mó
磨,mó
魔,mó
蘑,mó
劘,mó
摸,mó
嫫,mó
模,mó
摹,mó
膜,mó
糢,mó
謨,mó
饃,mó
譕,mó
抹,mǒ
万,mò
末,mò
沫,mò
抹,mò
妺,mò
茉,mò
秣,mò
袜,mò
靺,mò
沒,mò
歿,mò
歾,mò
佰,mò
陌,mò
貊,mò
冒,mò
脈,mò
眽,mò
覛,mò
霢,mò
麥,mò
莫,mò
漠,mò
寞,mò
幕,mò
鄚,mò
嗼,mò
膜,mò
瘼,mò
貘,mò
鏌,mò
驀,mò
貉,mò
塺,mò
磨,mò
墨,mò
嘿,mò
默,mò
嚜,mò
纆,mò
麼,me
嚜,me
埋,mái
薶,mái
霾,mái
買,mǎi
脈,mài
眽,mài
麥,mài
賣,mài
勱,mài
邁,mài
沒,méi
玫,méi
枚,méi
苺,méi
梅,méi
莓,méi
脢,méi
酶,méi
霉,méi
鋂,méi
眉,méi
湄,méi
嵋,méi
郿,méi
楣,méi
媒,méi
煤,méi
腜,méi
禖,méi
塺,méi
糜,méi
黴,méi
每,měi
挴,měi
美,měi
渼,měi
